所有故事词汇汇总（按首次出现的故事顺序排列）

序号,词汇,中文释义,首次出现故事编号,首次出现故事名称,出现总次数
132,"analyze","分析",1,"豪门契约_总裁的替身新娘_契约的开始",22
133,"obligation","义务",1,"豪门契约_总裁的替身新娘_契约的开始",4
134,"penalty","惩罚",1,"豪门契约_总裁的替身新娘_契约的开始",1
135,"provision","规定",1,"豪门契约_总裁的替身新娘_契约的开始",1
136,"control","控制",1,"豪门契约_总裁的替身新娘_契约的开始",17
137,"reasonable","合理的",1,"豪门契约_总裁的替身新娘_契约的开始",8
138,"modify","修改",1,"豪门契约_总裁的替身新娘_契约的开始",3
139,"emphasize","强调",1,"豪门契约_总裁的替身新娘_契约的开始",4
140,"equal","平等的",1,"豪门契约_总裁的替身新娘_契约的开始",1
141,"partnership","合作关系",1,"豪门契约_总裁的替身新娘_契约的开始",2
142,"hesitate","犹豫",1,"豪门契约_总裁的替身新娘_契约的开始",15
143,"vulnerable","脆弱的",1,"豪门契约_总裁的替身新娘_契约的开始",4
144,"remarkable","非凡的",1,"豪门契约_总裁的替身新娘_契约的开始",2
145,"perspective","视角",1,"豪门契约_总裁的替身新娘_契约的开始",3
146,"evaluate","评价",1,"豪门契约_总裁的替身新娘_契约的开始",5
147,"intense","激烈的",1,"豪门契约_总裁的替身新娘_契约的开始",15
148,"benefit","利益",1,"豪门契约_总裁的替身新娘_契约的开始",7
149,"guarantee","保障",1,"豪门契约_总裁的替身新娘_契约的开始",1
150,"respect","尊重",1,"豪门契约_总裁的替身新娘_契约的开始",86
151,"impression","印象",1,"豪门契约_总裁的替身新娘_契约的开始",5
152,"work","工作",1,"豪门契约_总裁的替身新娘_契约的开始",9
153,"senior","高级的",1,"豪门契约_总裁的替身新娘_契约的开始",10
154,"manager","经理",1,"豪门契约_总裁的替身新娘_契约的开始",7
155,"research","研究",1,"豪门契约_总裁的替身新娘_契约的开始",4
156,"challenging","有挑战性的",1,"豪门契约_总裁的替身新娘_契约的开始",1
157,"adapt","适应",1,"豪门契约_总裁的替身新娘_契约的开始",19
158,"determined","坚决的",1,"豪门契约_总裁的替身新娘_契约的开始",26
159,"diligent","勤奋的",1,"豪门契约_总裁的替身新娘_契约的开始",2
160,"detail","细节",1,"豪门契约_总裁的替身新娘_契约的开始",14
161,"trend","趋势",1,"豪门契约_总裁的替身新娘_契约的开始",7
162,"visit","拜访",1,"豪门契约_总裁的替身新娘_契约的开始",1
163,"collect","收集",1,"豪门契约_总裁的替身新娘_契约的开始",7
164,"feedback","反馈",1,"豪门契约_总裁的替身新娘_契约的开始",6
165,"recognize","认可",1,"豪门契约_总裁的替身新娘_契约的开始",7
166,"experienced","有经验的",1,"豪门契约_总裁的替身新娘_契约的开始",2
167,"performance","表现",1,"豪门契约_总裁的替身新娘_契约的开始",11
168,"surprise","惊讶",1,"豪门契约_总裁的替身新娘_契约的开始",27
169,"capability","能力",1,"豪门契约_总裁的替身新娘_契约的开始",7
170,"expectation","期望",1,"豪门契约_总裁的替身新娘_契约的开始",8
171,"private","私人的",1,"豪门契约_总裁的替身新娘_契约的开始",5
172,"passion","热情",1,"豪门契约_总裁的替身新娘_契约的开始",21
173,"indifferent","冷漠的",1,"豪门契约_总裁的替身新娘_契约的开始",7
174,"attention","关注",1,"豪门契约_总裁的替身新娘_契约的开始",7
175,"insightful","有洞察力的",1,"豪门契约_总裁的替身新娘_契约的开始",2
176,"analysis","分析",1,"豪门契约_总裁的替身新娘_契约的开始",5
177,"solid","坚实的",1,"豪门契约_总裁的替身新娘_契约的开始",6
178,"logic","逻辑",1,"豪门契约_总裁的替身新娘_契约的开始",4
179,"organize","组织",1,"豪门契约_总裁的替身新娘_契约的开始",26
180,"attend","参加",1,"豪门契约_总裁的替身新娘_契约的开始",1
181,"manage","设法",1,"豪门契约_总裁的替身新娘_契约的开始",12
182,"appear","出现",1,"豪门契约_总裁的替身新娘_契约的开始",4
183,"presence","出席",1,"豪门契约_总裁的替身新娘_契约的开始",1
184,"occasion","场合",1,"豪门契约_总裁的替身新娘_契约的开始",2
185,"coincide","巧合",1,"豪门契约_总裁的替身新娘_契约的开始",3
186,"complete","完成",1,"豪门契约_总裁的替身新娘_契约的开始",11
187,"collaborate","合作",1,"豪门契约_总裁的替身新娘_契约的开始",3
188,"challenge","挑战",1,"豪门契约_总裁的替身新娘_契约的开始",47
189,"dense","密集的",1,"豪门契约_总裁的替身新娘_契约的开始",1
190,"hidden","隐藏的",1,"豪门契约_总裁的替身新娘_契约的开始",2
191,"checkpoint","检查点",1,"豪门契约_总裁的替身新娘_契约的开始",1
192,"coordinate","协调",1,"豪门契约_总裁的替身新娘_契约的开始",5
193,"professional","专业的",1,"豪门契约_总裁的替身新娘_契约的开始",41
194,"quality","素质",1,"豪门契约_总裁的替身新娘_契约的开始",5
195,"navigate","导航",1,"豪门契约_总裁的替身新娘_契约的开始",1
196,"motivate","激励",1,"豪门契约_总裁的替身新娘_契约的开始",1
197,"resolve","解决",1,"豪门契约_总裁的替身新娘_契约的开始",3
198,"steep","陡峭的",1,"豪门契约_总裁的替身新娘_契约的开始",1
199,"extend","伸出",1,"豪门契约_总裁的替身新娘_契约的开始",1
200,"suspect","怀疑",1,"豪门契约_总裁的替身新娘_契约的开始",4
201,"home","回家",1,"豪门契约_总裁的替身新娘_契约的开始",1
202,"gentle","柔和的",1,"豪门契约_总裁的替身新娘_契约的开始",54
203,"alternate","交替",1,"豪门契约_总裁的替身新娘_契约的开始",1
204,"atmosphere","气氛",1,"豪门契约_总裁的替身新娘_契约的开始",25
205,"rare","难得",1,"豪门契约_总裁的替身新娘_契约的开始",4
206,"praise","赞扬",1,"豪门契约_总裁的替身新娘_契约的开始",9
207,"appreciate","欣赏",1,"豪门契约_总裁的替身新娘_契约的开始",18
208,"teamwork","团队精神",1,"豪门契约_总裁的替身新娘_契约的开始",2
209,"fulfill","履行",1,"豪门契约_总裁的替身新娘_契约的开始",22
210,"duty","职责",1,"豪门契约_总裁的替身新娘_契约的开始",1
211,"important","重要的",1,"豪门契约_总裁的替身新娘_契约的开始",5
212,"present","呈现",1,"豪门契约_总裁的替身新娘_契约的开始",7
213,"nervous","紧张的",1,"豪门契约_总裁的替身新娘_契约的开始",108
214,"significant","重要的",1,"豪门契约_总裁的替身新娘_契约的开始",4
215,"complex","复杂的",1,"豪门契约_总裁的替身新娘_契约的开始",11
216,"ambition","抱负",1,"豪门契约_总裁的替身新娘_契约的开始",3
217,"outline","概述",1,"豪门契约_总裁的替身新娘_契约的开始",4
218,"emerge","出现",1,"豪门契约_总裁的替身新娘_契约的开始",7
219,"annual","年度的",2,"豪门契约_总裁的替身新娘_总裁的试探",4
220,"crucial","至关重要的",2,"豪门契约_总裁的替身新娘_总裁的试探",9
221,"summit","峰会",2,"豪门契约_总裁的替身新娘_总裁的试探",1
222,"executive","执行官",2,"豪门契约_总裁的替身新娘_总裁的试探",3
223,"screen","屏幕",2,"豪门契约_总裁的替身新娘_总裁的试探",2
224,"display","显示",2,"豪门契约_总裁的替身新娘_总裁的试探",1
225,"report","报告",2,"豪门契约_总裁的替身新娘_总裁的试探",14
226,"steady","稳定的",2,"豪门契约_总裁的替身新娘_总裁的试探",8
227,"summarize","总结",2,"豪门契约_总裁的替身新娘_总裁的试探",1
228,"revenue","收入",2,"豪门契约_总裁的替身新娘_总裁的试探",1
229,"growth","增长",2,"豪门契约_总裁的替身新娘_总裁的试探",10
230,"exceed","超出",2,"豪门契约_总裁的替身新娘_总裁的试探",5
231,"favorable","有利的",2,"豪门契约_总裁的替身新娘_总裁的试探",6
232,"response","反应",2,"豪门契约_总裁的替身新娘_总裁的试探",2
233,"issue","问题",2,"豪门契约_总裁的替身新娘_总裁的试探",3
234,"rise","上升",2,"豪门契约_总裁的替身新娘_总裁的试探",2
235,"efficiency","效率",2,"豪门契约_总裁的替身新娘_总裁的试探",3
236,"capture","夺取",2,"豪门契约_总裁的替身新娘_总裁的试探",6
237,"contribute","贡献",2,"豪门契约_总裁的替身新娘_总裁的试探",8
238,"opinion","观点",2,"豪门契约_总裁的替身新娘_总裁的试探",1
239,"effective","有效的",2,"豪门契约_总裁的替身新娘_总裁的试探",2
240,"convince","说服",2,"豪门契约_总裁的替身新娘_总裁的试探",3
241,"exchange","交换",2,"豪门契约_总裁的替身新娘_总裁的试探",3
242,"furnish","布置",2,"豪门契约_总裁的替身新娘_总裁的试探",1
243,"leather","皮革",2,"豪门契约_总裁的替身新娘_总裁的试探",1
244,"penetrate","穿透",2,"豪门契约_总裁的替身新娘_总裁的试探",3
245,"explain","解释",2,"豪门契约_总裁的替身新娘_总裁的试探",8
246,"interview","采访",2,"豪门契约_总裁的替身新娘_总裁的试探",4
247,"consumer","消费者",2,"豪门契约_总裁的替身新娘_总裁的试探",3
248,"monitor","监控",2,"豪门契约_总裁的替身新娘_总裁的试探",3
249,"expert","专家",2,"豪门契约_总裁的替身新娘_总裁的试探",2
250,"nod","点头",2,"豪门契约_总裁的替身新娘_总裁的试探",4
251,"approve","认可",2,"豪门契约_总裁的替身新娘_总裁的试探",9
252,"investigate","调查",2,"豪门契约_总裁的替身新娘_总裁的试探",9
253,"arrive","到达",2,"豪门契约_总裁的替身新娘_总裁的试探",9
254,"leave","离开",2,"豪门契约_总裁的替身新娘_总裁的试探",6
255,"devote","奉献",2,"豪门契约_总裁的替身新娘_总裁的试探",32
256,"predict","预测",2,"豪门契约_总裁的替身新娘_总裁的试探",2
257,"comprehensive","综合的",2,"豪门契约_总裁的替身新娘_总裁的试探",7
258,"categorize","分类",2,"豪门契约_总裁的替身新娘_总裁的试探",1
259,"variable","变量",2,"豪门契约_总裁的替身新娘_总裁的试探",1
260,"employ","使用",2,"豪门契约_总裁的替身新娘_总裁的试探",2
261,"forecast","预测",2,"豪门契约_总裁的替身新娘_总裁的试探",2
262,"basis","依据",2,"豪门契约_总裁的替身新娘_总裁的试探",1
263,"create","制造",2,"豪门契约_总裁的替身新娘_总裁的试探",34
264,"jealousy","嫉妒",2,"豪门契约_总裁的替身新娘_总裁的试探",1
265,"manifest","表现",2,"豪门契约_总裁的替身新娘_总裁的试探",1
266,"clarify","澄清",2,"豪门契约_总裁的替身新娘_总裁的试探",2
267,"mature","成熟",2,"豪门契约_总裁的替身新娘_总裁的试探",6
268,"process","处理",2,"豪门契约_总裁的替身新娘_总裁的试探",6
269,"surround","包围",2,"豪门契约_总裁的替身新娘_总裁的试探",2
270,"silence","寂静",2,"豪门契约_总裁的替身新娘_总裁的试探",6
271,"content","内容",2,"豪门契约_总裁的替身新娘_总裁的试探",3
272,"answer","回答",2,"豪门契约_总裁的替身新娘_总裁的试探",3
273,"projection","预测",2,"豪门契约_总裁的替身新娘_总裁的试探",1
274,"similar","相似的",2,"豪门契约_总裁的替身新娘_总裁的试探",2
275,"sensitive","敏感的",2,"豪门契约_总裁的替身新娘_总裁的试探",2
276,"perceive","感知",2,"豪门契约_总裁的替身新娘_总裁的试探",4
277,"systematic","系统的",2,"豪门契约_总裁的替身新娘_总裁的试探",3
278,"describe","描述",2,"豪门契约_总裁的替身新娘_总裁的试探",11
279,"submit","提交",2,"豪门契约_总裁的替身新娘_总裁的试探",1
280,"cover","覆盖",2,"豪门契约_总裁的替身新娘_总裁的试探",3
281,"implement","实施",2,"豪门契约_总裁的替身新娘_总裁的试探",3
282,"accurate","准确的",2,"豪门契约_总裁的替身新娘_总裁的试探",12
283,"excellent","优秀的",2,"豪门契约_总裁的替身新娘_总裁的试探",11
284,"impress","印象深刻",2,"豪门契约_总裁的替身新娘_总裁的试探",9
285,"execute","执行",2,"豪门契约_总裁的替身新娘_总裁的试探",6
286,"feasible","可行的",2,"豪门契约_总裁的替身新娘_总裁的试探",4
287,"adjust","调整",2,"豪门契约_总裁的替身新娘_总裁的试探",11
288,"know","了解",2,"豪门契约_总裁的替身新娘_总裁的试探",1
289,"acknowledge","承认",2,"豪门契约_总裁的替身新娘_总裁的试探",3
290,"begin","开始",2,"豪门契约_总裁的替身新娘_总裁的试探",3
291,"effort","努力",2,"豪门契约_总裁的替身新娘_总裁的试探",20
292,"persist","坚持",2,"豪门契约_总裁的替身新娘_总裁的试探",9
293,"increase","增加",2,"豪门契约_总裁的替身新娘_总裁的试探",2
294,"opportunity","机会",2,"豪门契约_总裁的替身新娘_总裁的试探",38
295,"trust","信任",2,"豪门契约_总裁的替身新娘_总裁的试探",18
296,"test","考验",2,"豪门契约_总裁的替身新娘_总裁的试探",1
297,"plan","计划",2,"豪门契约_总裁的替身新娘_总裁的试探",26
298,"schedule","时间表",2,"豪门契约_总裁的替身新娘_总裁的试探",4
299,"budget","预算",2,"豪门契约_总裁的替身新娘_总裁的试探",2
300,"allocate","分配",2,"豪门契约_总裁的替身新娘_总裁的试探",3
301,"smile","微笑",2,"豪门契约_总裁的替身新娘_总裁的试探",14
302,"lead","领导",2,"豪门契约_总裁的替身新娘_总裁的试探",4
303,"assign","指派",2,"豪门契约_总裁的替身新娘_总裁的试探",3
304,"journey","旅程",2,"豪门契约_总裁的替身新娘_总裁的试探",6
305,"fade","流逝",3,"重生之商业女王_重生归来",2
306,"blur","模糊",3,"重生之商业女王_重生归来",1
307,"desperate","绝望的",3,"重生之商业女王_重生归来",1
308,"respond","回应",3,"重生之商业女王_重生归来",3
309,"fragment","片段",3,"重生之商业女王_重生归来",1
310,"betray","背叛",3,"重生之商业女王_重生归来",12
311,"dream","梦想",3,"重生之商业女王_重生归来",25
312,"end","结束了",3,"重生之商业女王_重生归来",9
313,"room","房间",3,"重生之商业女王_重生归来",1
314,"curtain","窗帘",3,"重生之商业女王_重生归来",2
315,"familiar","熟悉的",3,"重生之商业女王_重生归来",7
316,"beat","跳动",3,"重生之商业女王_重生归来",3
317,"photo","照片",3,"重生之商业女王_重生归来",3
318,"realize","意识到",3,"重生之商业女王_重生归来",13
319,"rebirth","重生",3,"重生之商业女王_重生归来",2
320,"vivid","生动的",3,"重生之商业女王_重生归来",3
321,"transform","转型",3,"重生之商业女王_重生归来",7
322,"revolution","革命",3,"重生之商业女王_重生归来",1
323,"experience","经历",3,"重生之商业女王_重生归来",27
324,"tragic","悲剧的",3,"重生之商业女王_重生归来",4
325,"emotion","情感",3,"重生之商业女王_重生归来",26
326,"fluctuate","波动",3,"重生之商业女王_重生归来",2
327,"interweave","交织",3,"重生之商业女王_重生归来",1
328,"suffer","遭受",3,"重生之商业女王_重生归来",5
329,"stagnate","停滞",3,"重生之商业女王_重生归来",1
330,"vision","视野",3,"重生之商业女王_重生归来",7
331,"regret","遗憾",3,"重生之商业女王_重生归来",11
332,"sorrow","悲哀",3,"重生之商业女王_重生归来",2
333,"reflection","反思",3,"重生之商业女王_重生归来",2
334,"live","活",3,"重生之商业女王_重生归来",1
335,"cherish","珍惜",3,"重生之商业女王_重生归来",33
336,"arrangement","安排",3,"重生之商业女王_重生归来",3
337,"strong","强者",3,"重生之商业女王_重生归来",9
338,"graduate","毕业",3,"重生之商业女王_重生归来",5
339,"enterprise","企业",3,"重生之商业女王_重生归来",3
340,"boring","枯燥的",3,"重生之商业女王_重生归来",1
341,"gradual","逐渐的",3,"重生之商业女王_重生归来",4
342,"pain","痛苦",3,"重生之商业女王_重生归来",6
343,"decision","决定",3,"重生之商业女王_重生归来",4
344,"reject","拒绝",3,"重生之商业女王_重生归来",1
345,"pursue","追求",3,"重生之商业女王_重生归来",16
346,"industry","行业",3,"重生之商业女王_重生归来",3
347,"electronic","电子",3,"重生之商业女王_重生归来",2
348,"reshape","重塑",3,"重生之商业女王_重生归来",1
349,"era","时代",3,"重生之商业女王_重生归来",2
350,"grow","增长",3,"重生之商业女王_重生归来",9
351,"wealth","财富",3,"重生之商业女王_重生归来",5
352,"miracle","奇迹",3,"重生之商业女王_重生归来",11
353,"small","小的",3,"重生之商业女王_重生归来",2
354,"network","人脉",3,"重生之商业女王_重生归来",6
355,"brand","品牌",3,"重生之商业女王_重生归来",3
356,"wisdom","智慧",3,"重生之商业女王_重生归来",44
357,"difficulty","困难",3,"重生之商业女王_重生归来",26
358,"stress","压力",3,"重生之商业女王_重生归来",2
359,"dilemma","困境",3,"重生之商业女王_重生归来",1
360,"oppose","反对",3,"重生之商业女王_重生归来",1
361,"drive","推动",3,"重生之商业女王_重生归来",4
362,"courage","勇气",3,"重生之商业女王_重生归来",51
363,"conquer","征服",3,"重生之商业女王_重生归来",2
364,"peak","山峰",3,"重生之商业女王_重生归来",2
365,"fail","失败",3,"重生之商业女王_重生归来",7
366,"prelude","前奏",3,"重生之商业女王_重生归来",1
367,"power","力量",3,"重生之商业女王_重生归来",7
368,"motive","动力",3,"重生之商业女王_重生归来",1
369,"absorb","吸收",3,"重生之商业女王_重生归来",1
370,"forum","论坛",3,"重生之商业女王_重生归来",4
371,"advantage","优势",3,"重生之商业女王_重生归来",5
372,"succeed","成功",3,"重生之商业女王_重生归来",4
373,"profit","盈利",3,"重生之商业女王_重生归来",2
374,"foresight","预见",3,"重生之商业女王_重生归来",1
375,"energy","精力",3,"重生之商业女王_重生归来",4
376,"state","状态",3,"重生之商业女王_重生归来",1
377,"struggle","挣扎",3,"重生之商业女王_重生归来",11
378,"expect","预期",3,"重生之商业女王_重生归来",19
379,"entrepreneur","创业者",3,"重生之商业女王_重生归来",2
380,"reputation","声誉",3,"重生之商业女王_重生归来",12
381,"contact","联系",3,"重生之商业女王_重生归来",5
382,"intention","意向",3,"重生之商业女王_重生归来",4
383,"business","事业",3,"重生之商业女王_重生归来",6
384,"negative","负面的",3,"重生之商业女王_重生归来",3
385,"threaten","威胁",3,"重生之商业女王_重生归来",6
386,"steal","窃取",3,"重生之商业女王_重生归来",1
387,"profound","深刻的",3,"重生之商业女王_重生归来",3
388,"cautious","警惕",3,"重生之商业女王_重生归来",6
389,"correct","正确的",3,"重生之商业女王_重生归来",5
